,Now,Title,View,Coment,Like,Subscriber
146,2020/04/22 13:53:48,"슬기로운 집콕VLOG 집순이들의 현실육아 일상 브이로그 아이와 함께 놀이 활동★낮잠행특급열차 예매하는 풍선 테니스, 케이크 만들기, 붕어빵 장사 미래의 서민갑부 나야 나♪",21,0.0,8.0,39.0
147,2020/04/22 13:54:07,퇴사하고 다녀온 유럽여행 브이로그 2 🇵🇹 포르투편 (코로나 관련 더보기란 확인 해주세요!),69,9.0,10.0,
148,2020/04/22 13:54:27,"[vlog#7] 일본유학생 일상 브이로그 I 日本語字幕, 집콕, 다이어트, 생존신고, 家で過ごす時間, ダイエット, 오늘은 또 뭐하지 정말 너무 심심해",61,4.0,11.0,117.0
149,2020/04/22 13:54:45,"[vlog] 일상 브이로그 | 과제하고 영화 보고 투표하러 갔다 온 날 | 봄봄 토스트, 식빵 샐러드 피자, 블랙티, 블루베리 티",28,7.0,7.0,
150,2020/04/22 13:55:05,충남외고 온라인 입학식 브이로그 / VLOG / 외고생 일상 / 충남외고 브이로그 / 아이패드 필기,38,7.0,5.0,341.0
151,2020/04/22 13:55:24,[Cat v-log] 고양이 산책 브이로그,29,2.0,,7000.0
152,2020/04/22 13:55:50,미국친구들과 온라인 슬립오버! (코로나 브이로그) | Virtual Sleepover with Besties! Vlog (Eng/Kor sub),37,2.0,11.0,70.0
153,2020/04/22 13:56:11,[빛나로그] 4월 일상브이로그 - 애니덕후 서로이웃모임 / 걸즈번개 / 뱅드림 덕후들이 노래방가면 생기는 일,71,8.0,10.0,36.0
154,2020/04/22 13:56:30,온라인개학 겸 일상 VLOG / 브이로그 / 고등학생 / 고3 / 덕질 / 덕튜브 / 하늘 / 일상 / 온라인개학 / 공부 / 온라인수업 / ☁️ / 하성운 / 💙,593,25.0,36.0,122.0
155,2020/04/22 13:56:51,"[포르투갈 브이로그] 비 오는 포르투 거리, 같이 에그타르트 사러 갈래요?",90,21.0,25.0,188.0
156,2020/04/22 13:57:13,[VLOG] 중등 교사 브이로그ㅣ세월호 추모ㅣ온라인 개학ㅣ교육감 방문,53,2.0,3.0,99.0
157,2020/04/22 13:57:34,"[vlog]자취생 브이로그 | 해 먹고,사 먹고,시켜 먹는 집콕 일상",40,,1.0,7.0
158,2020/04/22 13:57:55,아무도 없는 밤바다.. 그리고 라면을 끓여먹는 브이로그.. (feat.달콤커피),20,3.0,5.0,113.0
