,Now,Title,View,Coment,Like,Subscriber
122,2020-04-28 9:17,"게임의 미래는, 바로 홀로그래픽입니다",3461,25,106,1360000
123,2020-04-28 9:17,PREDATOR HUNTING GROUNDS Walkthrough Gameplay Part 1 - INTRO (FULL GAME),354390,1447,23000,11300000
124,2020-04-28 9:17,[각종아재 생방송] 명작 게임의 귀환  PS4 -성검전설3 리메이크! TRIALS of MANA  [04월26일],4449,3,191,14600
125,2020-04-28 9:17,한눈에 보는 게임 변천사 - 헤일로 시리즈,4041,50,151,222000
126,2020-04-28 9:18,한타기여도를 높여서 게임을 이기게만드는 탑라칸 템트리,11262,21,81,248000
127,2020-04-28 9:18,당신이 심심할 때를 위한 재미있는 활동과 게임 28가지,4181,9,33,88400
128,2020-04-28 9:18,힐링게임 비세라 하이라이트,9569,48,462,610000
129,2020-04-28 9:18,[대회와 온라인게임의 확실한 차이] 룰을 이용하라~! (장기),4548,72,161,17900
130,2020-04-28 9:19,JDG vs FPX - Game 1 | Semi Final LPL Spring 2020 | JD Gaming vs FunPlus Phoenix G1,26610,48,252,478000
131,2020-04-28 9:19,비타민먹으면서 게임해봤습니다 ㅋㅋ[브롤스타즈 Brawl Stars][사랑],1231,35,48,5180
132,2020-04-28 9:19,꿀잼 모바일 인디 게임 추천 2020 [구글 2020 인디게임 페스티벌],744,47,45,7660
133,2020-04-28 9:20,미스 포츈 챔피언 쇼케이스 | 게임플레이 - 레전드 오브 룬테라,11607,159,313,16200
134,2020-04-28 9:20,"[원투펀치 405회 2부] 오늘도 계속되는 VS 게임! ""사비 vs 이니에스타, 아스널 vs 첼시""",16602,324,424,51200
135,2020-04-28 9:20,【 똘끼 】앞으로 계획한 모바일게임들! 이것의 정체는 무엇일까요?,16820,59,204,139000
136,2020-04-28 9:20,스트리머 8인이 함께한 그림그리는게임ㅋㅋㅋㅋㅋㅋ - 텔레스트레이션,11699,83,354,273000
137,2020-04-28 9:20,"모바일 게임 매크로 만드는 과정, 바로 보여드립니다 | 매크로, 파이썬",185,12,8,1630
138,2020-04-28 9:21,[선공개]과자는 떨어진게 맛있지_여성향 게임의 파멸 플래그밖에 없는 악역 영애로 환생해버렸다_제4화_하이라이트[Aniplus],8646,107,222,212000
139,2020-04-28 9:21,로또 909회 월요일자동 80장(400게임),4248,0,186,36900
140,2020-04-28 9:21,"[NCS] 게임하면서 듣는 매드무비 브금 X 신나는 노래 모음 1시간  [힘들때들어요] 모두를 울렸던 바로 그, 게임 OST 모음  No Copyright Sound 노래 #17",96,0,4,35900
141,2020-04-28 9:21,4월27일 흥하라100억게임/인생을 좌우할 핵심테마종목,376,2,32,1980
142,2020-04-28 9:21,GUESS THE KPOP IDOLS PUZZLE VERSION - KPOP GAME,1960,7,209,22900
143,2020-04-28 9:21,[서든어택]4대5게임 너무 쉽게 이겨 버렸잖아;;[SuddenAttack],565,9,13,1020
144,2020-04-28 9:22,[게임덱후들 4화] 40대 파판 덕후와 파판 뉴비가 만나 리뷰를 한다면!?,3184,50,185,197000
145,2020-04-28 9:22,'사회적 거리두기' 일본 게임 나왔는데…게임 속 여성은? / 연합뉴스 (Yonhapnews),5871,6,13,206000
146,2020-04-28 9:22,NEW VIP UPDATE AND WINNING PLESIOSUCHUS !!! || Jurassic World - The Game - Ep 446 HD,23050,569,2200,2680000
147,2020-04-28 9:22,[베이TV]모든 온라인 게임 모바일 게임 애니메이션 다 그려드립니다~,315,41,23,16900
148,2020-04-28 9:22,엑스박스 시리즈 X는 게임에 어떤 변화를 가져올 것인가? 외 | 게임 헤드라인,5287,102,324,18600
149,2020-04-28 9:23,게임을 단 1초도 안해본 사람에게 옵치를 알려준다면..?,54459,577,1100,124000
150,2020-04-28 9:23,Mr X Returns to Game Master Incorporated! (Secret Plan to Steal the Key),158630,4939,11000,466000
151,2020-04-28 9:23,오디션 게임이 모바일로 나왔다고..?! 뿌셔주러 가겠습니다! - [클럽오디션],658,27,26,33700
152,2020-04-28 9:23,Game & Watch - Scott The Woz,566959,2707,38000,951000
153,2020-04-28 9:24,[오버워치] 핵키고 혼자 게임했습니다.,239,8,10,1700
154,2020-04-28 9:24,강원랜드👺Masked Warrior👺Bonus Free Spins Game,1958,2,12,2330
155,2020-04-28 9:24,GAME CRASHES! 3 BIG DNFs...... - F1 2019 CAREER MODE Part 116,27891,111,2100,355000
156,2020-04-28 9:24,Creating an AVATAR Game! | Reworking the Southern Watertribe | [Day 72] [Dreams PS4],20031,342,2200,131000
157,2020-04-28 9:24,I RUSHED 2 PRO SQUADS AT SAME TIME | ACE TIER SOLO VS SQUAD | PUBG MOBILE,822042,3666,46000,2760000
158,2020-04-28 9:25,[게임]동물의 숲 사러 용산다녀왔습니다구리~~,191,2,3,178000
159,2020-04-28 9:25,(긴급) ZD 온라인 부활?! 패스리시버 기능 생성?? 게임이 달라지는 테스트서버 심층분석!! 피파4 강준호 FIFAONLINE4,4353,33,39,11300
160,2020-04-28 9:25,JDG vs FPX - Game 3 | Semi Final LPL Spring 2020 | JD Gaming vs FunPlus Phoenix G3,15061,66,158,478000
161,2020-04-28 9:25,"나혼자산다 3얼의 게임광고? 신작모바일 케페우스M. 이게임 흥할까? 모델이 무려 이시언,성훈,기안84 와... 대단",386,2,5,6700
162,2020-04-28 9:25,[모바일게임] 샐러드! 와플! 스튜! 프라이! 쥬스! 모든 요리를 만들어요!,1159,9,32,17400
163,2020-04-28 9:26,"[주간 핫클립] 게임은 정말 질병이 아닌것인가...? (feat.5전령,목소리)",1144,15,65,84100
164,2020-04-28 9:26,"""올망졸망똘망똘망"" 발음게임! 한번해보세요~~~",106,9,15,7090
165,2020-04-28 9:26,챌린저 큐에서 끊임없이 싸우는 꿀잼 게임 - 칼날비 드레이븐,2077,18,35,10900
166,2020-04-28 9:26,4월27일 흥하라100억게임 매일흥하고있다 /에이프로젠KIC 유비케어 인성정보 오픈베이스 오성첨단소재 지엔코 카프로 휴마시스 소프트센 제넨바이오,593,0,32,1980
167,2020-04-28 9:26,싸우기 바쁜 세훈과 찬열의 미니 당구 게임,2935,25,242,4420
168,2020-04-28 9:26,대한민국 국가대표 농구선수는 과연 오락실에 있는 농구게임을 잘할까?!!???(feat.김종규),17494,152,587,211000
169,2020-04-28 9:27,WWE 2K20 'John Cena' Part 2 Special Gameplay ! Fail Game LIVE 2K20 THEME GAMEPLAY |,11014,269,1600,27800
170,2020-04-28 9:27,*NEW* WWE GAME TRAILER!! (WWE 2K BATTLEGROUNDS),78540,1147,6700,1330000
171,2020-04-28 9:28,WWE 2K20 'John Cena' Special Gameplay ! Fail Game LIVE 2K20 THEME GAMEPLAY | Join FailGame @159 Rs.,12522,48,1300,27800
172,2020-04-28 9:28,"4월 5주차 [내얼굴뉴스] - 전세계 게임쇼 현황; 중국은 강행, 한국은? | 모바일+게임 업계 | 신작 소식",62,0,7,2340
173,2020-04-28 9:28,"[바이오하자드 RE:3] 팔렌 공포게임 실황 3화, 그냥 명작 영화 하나 보는 것 같은 게임!",110,18,5,5360
174,2020-04-28 9:28,Daniel is Missing at the Lake of Secrets!  (Searching for RZ Twin Reveals New Evidence),615529,11450,59000,1090000
175,2020-04-28 9:29,뮤비드-19 공포 게임 개발 소개 영상,18,0,1,4680
176,2020-04-28 9:29,JDG vs FPX - Game 2 | Semi Final LPL Spring 2020 | JD Gaming vs FunPlus Phoenix G2,14311,21,116,478000
177,2020-04-28 9:29,실시간온라인대전게임 '서바이벌프로젝트'아시는분? [그때그시절게임][서바이벌프로젝트],43,1,3,562
178,2020-04-28 9:29,「알리스타 운영법 강의」 게임 끝날 때까지 킬관여율 90% 하는 방법! 【 더문 】,463,18,13,1990
179,2020-04-28 9:30,FTR Headed To AEW Confirmed? NEW WWE: Battlegrounds Game From 2K Announced! Going In Raw News Brief,3321,26,360,193000
180,2020-04-28 9:30,The Most EXPENSIVE game of Warzone! (Modern Warfare Warzone),7420,40,715,9810000
181,2020-04-28 9:30,반짝이는 프리채널 게임 채널1탄 {스위트 허니 브랜드 채널!} [원 투 스위트] 믹스코디 (어려움) (마캐도금),325,17,16,460
182,2020-04-28 9:30,16 PRO TIPS To Step Up Your Game in Minecraft,101922,1249,10000,4530000
183,2020-04-28 9:30,"Assassin's Creed New Game, GTA 6 New leaks, COD Warzone hackers, COD Mobile World Cup -GAMING NEWS#2",15285,312,19000,28400
184,2020-04-28 9:31,월드스타 게임버전) 마구마구~! 전준우월드스타의 편집버전입니다~!! (오렌지의 편집 땡큐),404,9,22,1330
185,2020-04-28 9:31,"교통,게임유튜버의 오버워치실력은?",10,7,2,353
186,2020-05-01 16:45,한국인은 절대 이길수 없는 게임,164173,1003,4100,259000
187,2020-05-01 16:45,외딴섬에서 일하는 등대지기의 충격적인 이야기 (공포게임),44093,249,1500,544000
188,2020-05-01 16:46,필수구매! 판매량으로 보는 닌텐도 스위치 게임 TOP8,4130,18,47,27600
189,2020-05-01 16:46,정말 재밌는 5vs5 팀게임,436867,763,4100,515000
190,2020-05-01 16:46,스팀 4월 신작 공포 게임 첫 플레이 (※심약자 주의),10290,29,191,222000
191,2020-05-01 16:47,[피싱 시뮬레이터20화] 드디어 이 게임이 한글패치가 되었어요~!! 전설의 네온 보트를 얻어요~!!,2984,232,404,71700
192,2020-05-01 16:47,[5월모바일게임] 오픈 확정된 게임들!! 구글기프트카드 받으러가즈아!ㅋ 추천모바일게임 엉아,924,85,114,18700
193,2020-05-01 16:47,I'M SCREAMING.. THIS GAME IS A MASTERPIECE. | Streets of Rage 4 Gameplay,1008866,21951,150000,6080000
194,2020-05-01 16:48,돌잡이 미션 첫총이 MK14?!! 게임 끝났습니다,93028,199,1600,303000
195,2020-05-01 16:48,할 수록 지능이 낮아지는 게임,9425,160,400,14500
196,2020-05-01 16:48,[ 똘끼 ]게임하다 영혼까지 털려버린 룬 작업!! 설계자는 다 도망갔는데??,4477,9,63,139000
197,2020-05-01 16:48,[PC RPG 보석찾기] 천애명월도 - 무협 그 자체 게임..! ( 신규유저 플레이 리뷰 ) Moonlight Blade,4349,60,60,10700
198,2020-05-01 16:49,이거 하나면 게임 끝나,4087,27,154,87500
199,2020-05-01 16:49,[영상 이전] 이 게임에서 가장 작은 전차를 써 봤습니다.,44,5,5,3320
200,2020-05-01 16:49,럭스1위 20/2/7 초하드캐리 레전드영상 [여왕럭스],3796,45,83,50800
201,2020-05-01 16:50,3.0에 밤모드를 만들고있습니다[3D운전게임(운전교실 팬작품)],599,33,37,13400
202,2020-05-01 16:50,5월 발매 예정 게임 PS4 XBOXONE NINTENDO SWITCH PC [[VG]홀리],110,2,10,3680
203,2020-05-01 16:50,The Mediadel | Game of Zones Season 7 Premiere,386171,2620,25000,1800000
204,2020-05-01 16:50,[마블 퓨처 레볼루션] 넷마블 출시소식 모바일게임시장 평정 오픈필드 MMORPG??? Marvel Future Revolution,1077,10,31,30900
205,2020-05-01 16:51,[로블록스] 재밌는 게임인데 좀 비정상인 학교탈출 ㅋㅋ,4590,122,131,13900
206,2020-05-01 16:51,We made this game incredible...,1062036,3594,96000,1440000
207,2020-05-01 16:51,1+1 혐재와 현재를 한번에 볼 수 있는 게임 [ DawN 하스스톤 ],11668,19,86,35200
208,2020-05-01 16:51,속보) 배그 유튜버 게임 중 심장마비로 쓰러져...,132648,1157,2900,263000
209,2020-05-01 16:51,모바일게임순위 TOP20 20년5월1주차 (Weekly Mobile Game Top 20 in Korea) [사키엘TV],731,2,10,46400
210,2020-05-01 16:52,게임에서 중국 유저가 사라진다면?! 모동숲이 쏘아 올린 작은 공! / 롤큐 랭크쇼 | 롤큐플러스 LOLQplus,5532,107,132,223000
